"","item.deptCd","item.empNm","item.engNm","item.hjNm","item.jpgLink","item.origNm","item.reeleGbnNm"
"104","9771063","이철희","RHEE CHEOLHEE","李哲熙","http://www.assembly.go.kr/photo/9771063.jpg","비례대표","초선"
"105","9771076","이태규","LEE TAEKYU","李泰珪","http://www.assembly.go.kr/photo/9771076.jpg","비례대표","초선"
"106","9771099","이후삼","LEE HU SAM","李厚三","http://www.assembly.go.kr/photo/9771099.jpg","충북 제천시단양군","초선"
"107","9770939","이훈","LEE HOON","李薰","http://www.assembly.go.kr/photo/9770939.jpg","서울 금천구","초선"
"108","9771041","임이자","LIM LEEJA","林利子","http://www.assembly.go.kr/photo/9771041.jpg","비례대표","초선"
"109","9771101","임재훈","LIM JAEHUN","林哉勳","http://www.assembly.go.kr/photo/9771101.jpg","비례대표","초선"
"110","9771000","임종성","LIM JONGSEONG","林鍾聲","http://www.assembly.go.kr/photo/9771000.jpg","경기 광주시을","초선"
"111","9771026","장석춘","JANG SEOKCHUN","張錫春","http://www.assembly.go.kr/photo/9771026.jpg","경북 구미시을","초선"
"112","9771079","장정숙","CHANG JUNGSOOK","張貞淑","http://www.assembly.go.kr/photo/9771079.jpg","비례대표","초선"
"113","9770951","전재수","CHUN JAESOO","田載秀","http://www.assembly.go.kr/photo/9770951.jpg","부산 북구강서구갑","초선"
"114","9771047","전희경","JUN HEEKYUNG","全希卿","http://www.assembly.go.kr/photo/9771047.jpg","비례대표","초선"
"115","9771012","정운천","JEONG WOON CHUN","鄭雲天","http://www.assembly.go.kr/photo/9771012.jpg","전북 전주시을","초선"
"116","9770965","정유섭","JUNG YOUSUB","鄭有燮","http://www.assembly.go.kr/photo/9770965.jpg","인천 부평구갑","초선"
"117","9771020","정인화","JEONG INHWA","鄭仁和","http://www.assembly.go.kr/photo/9771020.jpg","전남 광양시곡성군구례군","초선"
"118","9770988","정재호","JUNG JAEHO","鄭在浩","http://www.assembly.go.kr/photo/9770988.jpg","경기 고양시을","초선"
"119","9770957","정종섭","CHONG JONGSUP","鄭宗燮","http://www.assembly.go.kr/photo/9770957.jpg","대구 동구갑","초선"
"120","9771068","정춘숙","JUNG CHOUNSOOK","鄭春淑","http://www.assembly.go.kr/photo/9771068.jpg","비례대표","초선"
"121","9770958","정태옥","CHOUNG TAEOK","鄭泰沃","http://www.assembly.go.kr/photo/9770958.jpg","대구 북구갑","초선"
"122","9771064","제윤경","JE YOUNKYUNG","諸閏景","http://www.assembly.go.kr/photo/9771064.jpg","비례대표","초선"
"123","9770973","조승래","JO SEOUNGLAE","趙承來","http://www.assembly.go.kr/photo/9770973.jpg","대전 유성구갑","초선"
"124","9770990","조응천","CHO EUNGCHEON","趙應天","http://www.assembly.go.kr/photo/9770990.jpg","경기 남양주시갑","초선"
"125","9771052","조훈현","CHO HOONHYUN","曺薰鉉","http://www.assembly.go.kr/photo/9771052.jpg","비례대표","초선"
"126","9770925","지상욱","JI SANGWUK","池尙昱","http://www.assembly.go.kr/photo/9770925.jpg","서울 중구성동구을","초선"
"127","9771074","채이배","CHAE YIBAI","蔡利培","http://www.assembly.go.kr/photo/9771074.jpg","비례대표","초선"
"128","9770976","최경환","CHOI GYUNGHWAN","崔敬煥","http://www.assembly.go.kr/photo/9770976.jpg","광주 북구을","초선"
"129","9771027","최교일","CHOI GYOIL","崔敎一","http://www.assembly.go.kr/photo/9771027.jpg","경북 영주시문경시예천군","초선"
"130","9771081","최도자","CHOI DOJA","崔道子","http://www.assembly.go.kr/photo/9771081.jpg","비례대표","초선"
"131","9771043","최연혜","CHOI YEONHYE","崔然惠","http://www.assembly.go.kr/photo/9771043.jpg","비례대표","초선"
"132","9771059","최운열","CHOI WOONYOUL","崔運烈","http://www.assembly.go.kr/photo/9771059.jpg","비례대표","초선"
"133","9770952","최인호","CHOI INHO","崔仁昊","http://www.assembly.go.kr/photo/9770952.jpg","부산 사하구갑","초선"
"134","9770962","추경호","CHOO KYUNGHO","秋慶鎬","http://www.assembly.go.kr/photo/9770962.jpg","대구 달성군","초선"
"135","9771084","추혜선","CHU HYESEON","秋惠仙","http://www.assembly.go.kr/photo/9771084.jpg","비례대표","초선"
"136","9770994","표창원","PYO CHANGWON","表蒼園","http://www.assembly.go.kr/photo/9770994.jpg","경기 용인시정","초선"
"137","9770936","황희","HWANG HEE","黃熙","http://www.assembly.go.kr/photo/9770936.jpg","서울 양천구갑","초선"
